,X,Y,Z,X_c,Y_c,Z_c,surface,series,id,order_series,smooth
0,308.474909,76.5,79.107143,0.5240403455797795,0.49934979397089263,0.5632125710202294,Quaternary,Default series,1,1,2e-06
4,463.8482394948023,80.09,73.39285714285721,0.696724803801542,0.5033397786294044,0.5568616203504939,Quaternary,Default series,1,1,2e-06
7,61.996307,51.0,85.535714,0.2501,0.47100867731572604,0.57035738986874,Quaternary,Default series,1,1,2e-06
1,343.0807871085472,83.0,46.96428571428579,0.5625018839495368,0.5065740001771116,0.5274884742372962,Rhyodacite,Default series,2,1,2e-06
2,372.7429683963993,92.68,24.10714285714293,0.5954689168956433,0.5173325103426807,0.5020846721934493,Dacite_altered,Default series,3,1,2e-06
5,478.6793301387284,82.36,58.39285714285722,0.7132083202745952,0.5058626937198839,0.5401903752592195,Dacite_altered,Default series,3,1,2e-06
3,461.02326984834014,103.35,-40.89285714285705,0.6935850863781031,0.5291913226842739,0.42984261013126,Dacite,Default series,4,1,2e-06
6,511.872723484658,88.7,26.964285714285797,0.7501,0.5129090733117959,0.5052601474489302,Dacite,Default series,4,1,2e-06
8,62.70254969718305,52.8,83.39285714285714,0.2508849296732441,0.473009226726679,0.5679757837446768,Andesite,Default series,5,1,2e-06
9,112.13951851026992,71.24,35.53571428571429,0.30582998458342164,0.4935037440255524,0.5147865732153727,Rhyolite,Default series,6,1,2e-06
11,141.0954573865065,91.0,11.964285714285708,0.33801208817366846,0.5154653308924579,0.4885889023576556,Rhyolite,Default series,6,1,2e-06
10,124.14563950773386,79.36,25.53571428571428,0.31917378363303617,0.5025284447016289,0.5036724098211897,Qtz_Porphyryie,Default series,7,1,2e-06
12,155.92654803043263,95.0,-1.607142857142776,0.3544956046467218,0.5199109962501312,0.4735053948941217,Qz-rhyolite,Default series,8,1,2e-06
